"","Team","Year","R.G","Playoffs","SO.W","num_batters","AB","BB_own","HBP_own","SH","SF","LOB_own","IP","R_allowed","WHIP"
"764","COL",2003,5.27,FALSE,1.57,0.308641975308642,34.0617283950617,3.82098765432099,0.320987654320988,0.339506172839506,0.234567901234568,7.1358024691358,8.76543209876543,5.50617283950617,0.00948148148148148
"765","DET",2003,3.65,FALSE,1.37,0.265432098765432,33.7407407407407,2.73456790123457,0.290123456790123,0.401234567901235,0.302469135802469,6.46296296296296,8.87777777777778,5.72839506172839,0.00932098765432099
"766","FLA",2003,4.64,TRUE,2.14,0.246913580246914,33.8888888888889,3.17901234567901,0.351851851851852,0.506172839506173,0.253086419753086,6.87654320987654,8.92037037037037,4.27160493827161,0.00830864197530864
"767","HOU",2003,4.97,FALSE,2.02,0.271604938271605,34.462962962963,3.43827160493827,0.5,0.376543209876543,0.234567901234568,7.31481481481481,8.95061728395062,4.17901234567901,0.00815432098765432
"768","KCR",2003,5.16,FALSE,1.53,0.327160493827161,34.3703703703704,2.93827160493827,0.462962962962963,0.388888888888889,0.351851851851852,6.76543209876543,8.87777777777778,5.35185185185185,0.00916049382716049
"769","LAD",2003,3.54,FALSE,2.45,0.271604938271605,33.6913580246914,2.51234567901235,0.444444444444444,0.438271604938272,0.172839506172839,6.83950617283951,8.99506172839506,3.4320987654321,0.00753703703703704
"770","MIL",2003,4.41,FALSE,1.8,0.259259259259259,34.2469135802469,3.37654320987654,0.438271604938272,0.382716049382716,0.246913580246914,7.12962962962963,8.96296296296296,5.38888888888889,0.0092037037037037
"771","MIN",2003,4.94,TRUE,2.48,0.259259259259259,34.9074074074074,3.16049382716049,0.388888888888889,0.259259259259259,0.320987654320988,7.19753086419753,9.02469135802469,4.67901234567901,0.00814197530864198
"772","MON",2003,4.39,FALSE,2.22,0.265432098765432,33.5617283950617,3.22222222222222,0.277777777777778,0.444444444444444,0.246913580246914,6.80246913580247,8.87160493827161,4.41975308641975,0.00828395061728395
"773","NYM",2003,3.99,FALSE,1.57,0.31055900621118,33.1739130434783,3.03726708074534,0.335403726708075,0.484472049689441,0.279503105590062,6.74534161490683,8.77701863354037,4.6832298136646,0.00911180124223603
"774","NYY",2003,5.38,TRUE,2.98,0.300613496932515,34.3865030674847,4.19631901840491,0.496932515337423,0.153374233128834,0.214723926380368,7.60122699386503,8.96932515337423,4.39263803680982,0.00792024539877301
"775","OAK",2003,4.74,TRUE,2.04,0.253086419753086,33.9320987654321,3.4320987654321,0.364197530864198,0.135802469135802,0.327160493827161,6.97530864197531,8.8962962962963,3.96913580246914,0.00785802469135802
"776","PHI",2003,4.88,FALSE,1.98,0.234567901234568,34.2160493827161,4.01851851851852,0.339506172839506,0.283950617283951,0.234567901234568,7.53086419753086,8.90864197530864,4.30246913580247,0.00821604938271605
