"","Tm","year","num_batters","BatAge","R.G","G","PA","AB","R","H","B2","B3","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS_plus","TB","GDP","HBP","SH","SF","IBB","LOB","playoffs"
"687","PIT",2000,46,28.3,4.9,162,39.3148148148148,34.8333333333333,4.89506172839506,9.2962962962963,1.97530864197531,0.191358024691358,1.03703703703704,4.62345679012346,0.530864197530864,0.246913580246914,3.48148148148148,6.37037037037037,0.267,0.339,0.424,0.762,92,14.7654320987654,0.820987654320988,0.407407407407407,0.364197530864198,0.228395061728395,0.253086419753086,7.41975308641975,FALSE
"688","SDP",2000,56,28.6,4.64,162,38.8333333333333,34.320987654321,4.64197530864198,8.72222222222222,1.72222222222222,0.228395061728395,0.969135802469136,4.40740740740741,0.808641975308642,0.327160493827161,3.71604938271605,7.26543209876543,0.254,0.33,0.402,0.732,91,13.8086419753086,0.759259259259259,0.283950617283951,0.240740740740741,0.265432098765432,0.308641975308642,7.12962962962963,FALSE
"689","SEA",2000,37,31.3,5.6,162,39.7777777777778,33.9320987654321,5.59876543209877,9.14197530864197,1.85185185185185,0.160493827160494,1.22222222222222,5.3641975308642,0.753086419753086,0.345679012345679,4.78395061728395,6.62345679012346,0.269,0.361,0.442,0.803,108,14.9814814814815,0.796296296296296,0.296296296296296,0.388888888888889,0.376543209876543,0.209876543209877,7.69753086419753,TRUE
"690","SFG",2000,36,29.9,5.71,162,39.6172839506173,34.0679012345679,5.70987654320988,9.47530864197531,1.87654320987654,0.271604938271605,1.39506172839506,5.48765432098765,0.487654320987654,0.240740740740741,4.37654320987654,6.37037037037037,0.278,0.362,0.472,0.834,115,16.0802469135802,0.808641975308642,0.314814814814815,0.450617283950617,0.407407407407407,0.37037037037037,7.48765432098765,TRUE
"691","STL",2000,46,29.6,5.48,162,39.3148148148148,33.8148148148148,5.47530864197531,9.14197530864197,1.59876543209877,0.154320987654321,1.45061728395062,5.19135802469136,0.537037037037037,0.314814814814815,4.16666666666667,7.73456790123457,0.27,0.356,0.455,0.812,103,15.4012345679012,0.716049382716049,0.518518518518518,0.487654320987654,0.327160493827161,0.203703703703704,7.49382716049383,TRUE
"692","TBD",2000,51,30.1,4.55,161,38.5465838509317,34.1925465838509,4.5527950310559,8.78260869565217,1.57142857142857,0.136645962732919,1.00621118012422,4.29813664596273,0.559006211180124,0.285714285714286,3.46583850931677,6.34782608695652,0.257,0.329,0.399,0.728,85,13.6459627329193,0.782608695652174,0.316770186335404,0.322981366459627,0.248447204968944,0.15527950310559,7.08074534161491,FALSE
"693","TEX",2000,42,29.5,5.23,162,39.2839506172839,34.8641975308642,5.23456790123457,9.88271604938272,2.03703703703704,0.216049382716049,1.0679012345679,4.97530864197531,0.425925925925926,0.290123456790123,3.58024691358025,5.69135802469136,0.283,0.352,0.446,0.798,100,15.5555555555556,0.993827160493827,0.240740740740741,0.296296296296296,0.296296296296296,0.240740740740741,7.39506172839506,FALSE
"694","TOR",2000,45,28.1,5.31,162,39.0493827160494,35.0432098765432,5.31481481481481,9.64197530864197,2.02469135802469,0.12962962962963,1.50617283950617,5.09876543209877,0.549382716049383,0.209876543209877,3.24691358024691,6.33333333333333,0.275,0.341,0.469,0.81,101,16.4444444444444,0.802469135802469,0.37037037037037,0.179012345679012,0.209876543209877,0.197530864197531,7.11111111111111,FALSE
"695","ANA",2001,38,27.9,4.27,162,38.4320987654321,34.2654320987654,4.26543209876543,8.9320987654321,1.69753086419753,0.160493827160494,0.975308641975309,4.08641975308642,0.716049382716049,0.320987654320988,3.04938271604938,6.17901234567901,0.261,0.327,0.405,0.732,91,13.8765432098765,0.672839506172839,0.475308641975309,0.283950617283951,0.327160493827161,0.209876543209877,7.42592592592593,FALSE
"696","ARI",2001,47,31.9,5.05,162,39.1913580246914,34.537037037037,5.04938271604938,9.22222222222222,1.75308641975309,0.216049382716049,1.28395061728395,4.79012345679012,0.438271604938272,0.234567901234568,3.62345679012346,6.49382716049383,0.267,0.341,0.442,0.783,94,15.2592592592593,0.648148148148148,0.351851851851852,0.438271604938272,0.222222222222222,0.450617283950617,7.30246913580247,TRUE
"697","ATL",2001,47,30.4,4.5,162,37.9753086419753,33.9382716049383,4.5,8.83950617283951,1.62345679012346,0.148148148148148,1.07407407407407,4.2962962962963,0.524691358024691,0.283950617283951,3.04320987654321,6.41358024691358,0.26,0.324,0.412,0.736,87,13.9814814814815,0.814814814814815,0.277777777777778,0.395061728395062,0.320987654320988,0.314814814814815,6.75925925925926,TRUE
"698","BAL",2001,46,30.2,4.24,162,37.9691358024691,33.7777777777778,4.24074074074074,8.38888888888889,1.61728395061728,0.148148148148148,0.839506172839506,4.09259259259259,0.820987654320988,0.327160493827161,3.17283950617284,6.10493827160494,0.248,0.319,0.38,0.699,88,12.820987654321,0.746913580246914,0.475308641975309,0.234567901234568,0.302469135802469,0.160493827160494,6.82716049382716,FALSE
"699","BOS",2001,48,30,4.8,161,38.9068322981366,34.8136645962733,4.79503105590062,9.27329192546584,1.96273291925466,0.180124223602484,1.22981366459627,4.59006211180124,0.285714285714286,0.217391304347826,3.22981366459627,7.02484472049689,0.266,0.334,0.439,0.773,101,15.2857142857143,0.819875776397516,0.434782608695652,0.173913043478261,0.254658385093168,0.31055900621118,7.2111801242236,FALSE
