"","Team","Year","Playoffs","R.G_ranked","SLG_ranked","HR9_ranked","SO9_ranked","SO.W_ranked","AB_ranked","B2_ranked","B3_ranked","SO_own_ranked","SH_ranked","IBB_own_ranked","LOB_own_ranked","num_pitchers_ranked","RA.G_ranked","cSho_ranked","Saves_ranked","HBP_allowed_ranked","BF_ranked","ERA_plus_ranked"
"118","OAK",1979,FALSE,1,2,20,7.5,3,1,1,7,11,17,5,1,2,25,4.5,2,26,26,1.5
"119","PHI",1979,FALSE,8,9.5,13,15,21,7,11,23,12,7,20,26,15,12,22,8,16,3,4
"120","PIT",1979,TRUE,20,21,13,24,24.5,24,18,20,22,23,26,11,4,4,2,26,17,20,24
"121","SDP",1979,FALSE,4,3,5.5,11.5,12.5,9,3,24,14,25,25,23,3,8,12.5,5,7.5,14,9
"122","SEA",1979,FALSE,11,14,23.5,7.5,5,16.5,12.5,21.5,8,8,9,17,17,24,9,6,18.5,24,10.5
"123","SFG",1979,FALSE,6,6,20,25,14,3,2,12,26,22,18,13,13,18,9,15.5,12.5,22,1.5
"124","STL",1979,FALSE,12,11,13,11.5,15,26,22,25,19,10,21,21,11,6,15,4,4,16,13
"125","TEX",1979,FALSE,17,17,13,11.5,9,21,14,3,2,19,13.5,15,13,10,9,24,14.5,5,21
"126","TOR",1979,FALSE,5,5,23.5,2,1,6,15,9,3,12,1,4,22.5,26,14,1,21,17,3
"127","ATL",1980,FALSE,8.5,9,17,7,12.5,2,8,1,25,11,11,1,1,12,21,16,14,1,11
"128","BAL",1980,FALSE,22,22.5,17,14,14,18,20,4,13,3,2,18,2.5,5,13,20,7,7,23
"129","BOS",1980,FALSE,21,25,17,5,10,25,26,11,8,2,9,17,23.5,24,3.5,25,22,20,10
"130","CAL",1980,FALSE,16,8,22.5,11.5,8.5,10,11,5,24,13,3,14,23.5,25,3.5,9,26,24,1
"131","CHC",1980,FALSE,6,5,11.5,25.5,15,21,16,8.5,26,10,15,11,2.5,18,2,12,18.5,26,12
"132","CHW",1980,FALSE,2,7,11.5,9,2,3,19,12.5,3,9,8,3,10,17,8,22.5,25,14,17.5
"133","CIN",1980,FALSE,15,14,11.5,17.5,17.5,7,18,18,22,19,21,16,12.5,10,18.5,15,3,4,5
"134","CLE",1980,FALSE,19,10.5,22.5,21,12.5,14,7,14,2,6,13,26,8,26,14,10,23,23,2
"135","DET",1980,FALSE,26,21,22.5,9,5,20,10,21,18,7,1,24,9,21,18.5,6,15.5,22,8.5
"136","HOU",1980,TRUE,8.5,6,1,25.5,26,12,9,26,11,20,23,22,5,1,25,19,13,6,20
"137","KCR",1980,TRUE,23,22.5,17,2,4,26,22,24,6,1,7,23,15,14,16,22.5,4,15,19
"138","LAD",1980,FALSE,10,16,5.5,17.5,21.5,13,3,2,20,23,14,19,5,2,26,21,1.5,2,22
"139","MIL",1980,FALSE,24,26,22.5,1,8.5,23,24,10,10,5,17,7,15,13,23.5,7,12,9,17.5
"140","MIN",1980,FALSE,12,10.5,11.5,11.5,16,16,17,19,4,22,4,8,11,19,11.5,8,11,13,26
"141","MON",1980,FALSE,14,16,5.5,17.5,23,5,15,25,23,17,25,10,17.5,3,22,14,9.5,10,14
"142","NYM",1980,FALSE,5,3,22.5,23.5,21.5,6,6,15,19,14.5,19,13,20,15,10,11,7,16,3
"143","NYY",1980,TRUE,25,24,5.5,20,24,15,12,6,9,4,16,20,7,11,23.5,26,9.5,8,24.5
"144","OAK",1980,FALSE,13,13,22.5,13,11,8,5,8.5,17,24,10,2,15,6,16,1,21,11,21
"145","PHI",1980,TRUE,17,18.5,2,22,19,22,23,23,5,18,20,15,20,4,8,18,5,18,24.5
"146","PIT",1980,FALSE,11,16,11.5,17.5,25,11,13.5,12.5,12,16,26,5,20,9,8,24,17,3,14
"147","SDP",1980,FALSE,3,1.5,5.5,9,7,9,1,16,15,21,22,25,12.5,8,5.5,17,1.5,12,5
"148","SEA",1980,FALSE,4,4,26,5,3,4,4,7,7,26,5,6,5,23,1,4,15.5,21,5
"149","SFG",1980,FALSE,1,1.5,5.5,15,17.5,1,2,17,21,25,18,12,22,7,11.5,13,20,17,16
"150","STL",1980,FALSE,18,18.5,5.5,3,6,19,25,20,14,14.5,24,9,26,16,16,5,7,5,7
"151","TEX",1980,FALSE,20,20,11.5,23.5,20,24,21,3,1,12,12,21,25,20,5.5,3,24,19,8.5
"152","TOR",1980,FALSE,7,12,17,5,1,17,13.5,22,16,8,6,4,17.5,22,20,2,18.5,25,14
"153","ATL",1981,FALSE,7,5,9.5,8,13.5,14,12.5,9.5,20,20,18,7,22.5,9,13,18,5,14,20
"154","BAL",1981,FALSE,14.5,17.5,24.5,13,11,8,21,1,7,1,8,20,2,18,19,16,10,12,10.5
"155","BOS",1981,FALSE,26,26,24.5,17,17.5,26,20,5,15,5,2,26,6.5,21,12,17,25,23,12
"156","CAL",1981,FALSE,21,19,24.5,2.5,5,9,3,4,22,17,3,16,20,10,16,5,18,5,7
"157","CHC",1981,FALSE,5,3,9.5,18.5,10,7,7,19,25,19,23,6,18,25,7.5,7,20,26,5
"158","CHW",1981,FALSE,22,22,18,20,20,17,4,16,16,15,1,15,14.5,12,18,14,22,8,15
"159","CIN",1981,FALSE,19.5,21,9.5,24,17.5,11,26,12,21,18,16,23,6.5,13,22,6,6,10,6
"160","CLE",1981,FALSE,17,6,9.5,24,22,15,16,8,1,13.5,10,18,3,24,21,2,2,22,9
"161","DET",1981,FALSE,11,10.5,24.5,8,4,2,11,18,10,16,11,21,11.5,7,17,9,23,3,21
"162","HOU",1981,TRUE,6,7.5,1,24,25,10,15,22.5,8,26,25,19,1,1,25,19,3,2,25
